model,SEN,SPE,PPV,NPV,AUC,ACC,BRIER,SEN_SE,SPE_SE,PPV_SE,NPV_SE,AUC_SE,ACC_SE,BRIER_SE
diagnosis ~ mean + (1|study),0.44426578233098846,0.5742897480104596,0.5091964408140879,0.5077653625664439,0.5622693164093009,0.5103669957722556,0.2532937773576205,0.09134600893638532,0.08372448635003464,0.04542773820816687,0.04420993554925289,0.03060672973708433,0.04341546729137067,0.0033057397529027087
diagnosis ~ sd + (1|study),0.6608008404571971,0.41937996919234294,0.526792568925164,0.5930915959948218,0.5400904048247701,0.5389634704317615,0.2504658676214835,0.10861555296086689,0.06284163794918553,0.021462254988298853,0.05344298370741507,0.026549564834877405,0.026864149101080974,9.752000698684793e-4
diagnosis ~ range + (1|study),0.6656592607269569,0.40854541446021875,0.5268983987904916,0.5808983283835231,0.5371023375935878,0.5359268664979262,0.25033237868139746,0.09408939018611585,0.054860806790614225,0.028617571847964384,0.06008932451567127,0.03394915163436186,0.03356561041747892,0.0019699303340035565
diagnosis ~ iqr + (1|study),0.706974226974693,0.40924874056578653,0.5418239975035107,0.6150613672759287,0.5581114837702398,0.5579788204685312,0.2496172032210004,0.09148862457659265,0.045622298272505864,0.01770489876775097,0.05108768530678609,0.02401240439885665,0.02418139381998031,0.0010482686554582849
diagnosis ~ median + (1|study),0.3745037390196186,0.5518219070948466,0.4542489250321311,0.45958879645409834,0.5239134409088333,0.4633867888915876,0.25475988906702274,0.09275715499855622,0.10089435397819206,0.028744620986946894,0.03648419096093846,0.03478917512166436,0.03199430975715941,0.0032158547585600956
diagnosis ~ mean_abs + (1|study),0.7408387562670093,0.39133257403283395,0.5510365203997517,0.6191047666247215,0.5660856651499216,0.5660653546744364,0.2448522094336975,0.05922204728785468,0.03177595614156733,0.01245296344612385,0.04788240405397039,0.019248381682254342,0.018735222898985826,0.004509788119803395
diagnosis ~ coef_var + (1|study),0.7967130484541108,0.39683700158792196,0.5736387908637036,0.657353463326237,0.5967750250210163,0.598055780908788,0.24221083805864876,0.016372674692111747,0.024122939678402077,0.010698490442806232,0.022974344930597284,0.013267773955492867,0.012697805218214737,0.0021207566372432635
diagnosis ~ se + (1|study),0.4000332770930116,0.5212285238587074,0.4525275733281071,0.4610150433054338,0.4606309004758596,0.45805595295439155,0.2511834301200289,0.07795428164887472,0.06804259115891048,0.009202067368226045,0.009632579714440166,0.008606436345791516,0.008894372881630292,0.0012406785660410505
diagnosis ~ Gender + (1|study),0.5222711774875144,0.32649793101380614,0.4272166245073394,0.4354014942596178,0.5806131311942955,0.4238071575936565,0.25813923274694983,0.10349959508345109,0.04647535869884471,0.041460441638251404,0.06727197044490113,0.046383376969606704,0.04806352535240398,0.002905353149299588
diagnosis ~ mean + sd + (1|study),0.5258718628634704,0.571691574588644,0.5492587347318444,0.5560114595790411,0.5961292674357531,0.5490724278629465,0.2508152338315931,0.1051892764060367,0.07853945993371463,0.04736261312766413,0.05083539092884593,0.024907449535447247,0.0488397147461227,0.0042884792034560216
diagnosis ~ mean + range + (1|study),0.5698364665689557,0.6029274024079797,0.5928667118434289,0.5873428144046481,0.5863819344884678,0.5861096208250671,0.24780998059544268,0.07449454523171543,0.0553567061501346,0.030710110913476658,0.04162343024684023,0.03507180324680327,0.03521534236618917,0.005828820237814841
diagnosis ~ mean + iqr + (1|study),0.5367174510987645,0.5668280221638226,0.5474834986158685,0.564640520228801,0.6022698916402021,0.5520976587483405,0.2503756260368815,0.11361142848134224,0.07687273773230174,0.04841414156269089,0.0562883807203194,0.026406835115155323,0.0518614414974441,0.003768561765112822
diagnosis ~ mean + median + (1|study),0.3935791856600496,0.5576504287505225,0.4726038899309628,0.4764891558198436,0.5271465044292645,0.4759842725103052,0.2538121636542305,0.08105451173897273,0.07832960545147061,0.024558502144758187,0.03321063509245917,0.027865377074308133,0.028859184010039812,0.0029958283914843036
diagnosis ~ mean + mean_abs + (1|study),0.7239397485367562,0.45596072839511387,0.5765710400825512,0.630196873932427,0.5899502384659351,0.5904314209349203,0.24296474365827306,0.05387412145642106,0.051494629156254655,0.011854424581451717,0.03695747157834663,0.01698308847468554,0.015802217053239954,0.003316630954105822
diagnosis ~ mean + coef_var + (1|study),0.7355254683509977,0.4620647615081689,0.5821417489957559,0.6400558142261634,0.5987951149295833,0.5994464932159916,0.24421684503413998,0.04522314613254952,0.04002631235759254,0.014767692576918125,0.03296790380874709,0.019294538372499268,0.019010398195865166,0.003882696349695071
diagnosis ~ mean + se + (1|study),0.3753547185777884,0.5662992034881443,0.4640968508615568,0.4708204499959694,0.5271980168407715,0.471512829578375,0.2544846646517334,0.07989316433139615,0.08136052718092905,0.030387541185271733,0.03706348969684853,0.03274816417359738,0.0327483142377158,0.0031173777359133482
diagnosis ~ mean + Gender + (1|study),0.5707698242089767,0.5063139588303095,0.5409189171194821,0.5399382354373827,0.5385418915196432,0.5373963105198535,0.2491546687724309,0.05006511582221265,0.046602750152672255,0.014144972831424386,0.013948207868000419,0.010596602207411628,0.010739954098642045,0.003313223677825354
diagnosis ~ sd + range + (1|study),0.6537644024186702,0.4086502944981109,0.5220451954117727,0.5738695370621367,0.5312073484583905,0.5298145381366914,0.2535332361999083,0.09789571342705196,0.05812678990856957,0.02870654454386647,0.06139591873917951,0.03425612916836633,0.03383581468198664,0.004010479399909411
diagnosis ~ sd + iqr + (1|study),0.7071498485102838,0.392483728417227,0.5358310858644482,0.6013651415644771,0.5498167884637554,0.5496907766371303,0.2500748020953477,0.08825491773877027,0.04807505526017138,0.0159658066550985,0.04815871863197678,0.021691683048752325,0.02157574936819487,0.0010713306451506973
diagnosis ~ sd + median + (1|study),0.5271139857210653,0.5236419697719225,0.5254156582310539,0.5366383578988225,0.5809443896092445,0.5248021979863565,0.25301312111358687,0.10610928460593454,0.08444697359682675,0.04372322828165457,0.05445845818129274,0.02437514546074575,0.045278282674538796,0.0033844970272995066
diagnosis ~ sd + mean_abs + (1|study),0.7363391807933315,0.3945400306155129,0.5499960890015434,0.6214851828183827,0.5654396057044222,0.5653301341773382,0.2449086883599698,0.06623394919352416,0.03319966970617742,0.015604402689046568,0.05283400801885814,0.02271735112618328,0.02236781179333184,0.005387809907425972
diagnosis ~ sd + coef_var + (1|study),0.7588831325845744,0.4374129667952624,0.5800660170976768,0.6424410611910611,0.5981480496899184,0.5994999747653518,0.2380599974176511,0.02816860399255463,0.04076057163593488,0.010850160095412136,0.0216492291714705,0.013265758519180198,0.01198984198390334,0.0037334377644302704
