model,SEN,SPE,PPV,NPV,AUC,ACC,SEN_SE,SPE_SE,PPV_SE,NPV_SE,AUC_SE,ACC_SE
diagnosis ~ mean + (1|ID) + (1|study),0.1315940650655191,0.15846665194113996,0.13378254238567547,0.14570305241418735,0.8549696414966704,0.14593652238771057,0.03663065134491166,0.05297472650304458,0.03169697708382802,0.044272700812144336,0.03055175287723933,0.03032326388690276
diagnosis ~ sd + (1|ID) + (1|study),0.28540736670196315,0.015165938382532577,0.2196538927441313,0.018070197311225594,0.8497133474577522,0.15056807247127196,0.05536822311855153,0.00986648744886211,0.032629720376151125,0.010875104723724343,0.02506909600240517,0.024471731410280986
diagnosis ~ range + (1|ID) + (1|study),0.23778172789476912,0.07383318628511816,0.19790164439010718,0.07421188630490955,0.8441925429100564,0.15512924387722282,0.05737857580162598,0.04398800868724437,0.03810297885817575,0.04464518095637997,0.03233086071056261,0.03200294259207444
diagnosis ~ iqr + (1|ID) + (1|study),0.27608000485057643,0.056113420843378455,0.22492840965612487,0.07475562327946775,0.8339032871530225,0.1665127702255512,0.044238229782506244,0.01534521362121547,0.02933578345079719,0.021594001654027657,0.029183530674879023,0.02854086263390234
diagnosis ~ median + (1|ID) + (1|study),0.12406043285543183,0.15378025306869458,0.12434492972880232,0.14033198843346145,0.8610796570379368,0.1398612303824855,0.03888113438571729,0.05232621359819413,0.03247532865707963,0.04211106110041693,0.02780699509976184,0.0276046081450144
diagnosis ~ mean_abs + (1|ID) + (1|study),0.240399762959352,0.11492521577493167,0.21189751844835467,0.1212275071801184,0.8223375106328581,0.17720043805487373,0.04835264025901549,0.05359287615240483,0.03446377664834676,0.045282119122075776,0.03749290298721614,0.036963743230709924
diagnosis ~ coef_var + (1|ID) + (1|study),0.258141038782013,0.0989187256108464,0.2227222074560116,0.11700533786648512,0.8214701178035703,0.17869557738834307,0.04337953918521981,0.03625440802834728,0.03346137077334256,0.039772719421256375,0.03692264683609628,0.03640987578606559
diagnosis ~ se + (1|ID) + (1|study),0.21081260371032776,0.07989656684035003,0.1717991328261751,0.07386095386095386,0.854645414724661,0.1442368194738089,0.07045253638231516,0.041520779355636306,0.04318861614858111,0.03830896131959162,0.026849674357683657,0.026448301734570398
diagnosis ~ Gender + (1|ID) + (1|study),0.1968537181968446,0.14710590809167692,0.17576265922565731,0.12346740496496328,0.8280201868557392,0.1708350048135916,0.06370937604425252,0.08131233838873896,0.037430374737755186,0.061769059065428844,0.036953215479367536,0.036369809061314186
diagnosis ~ mean + sd + (1|ID) + (1|study),0.1256883066807207,0.17229181786627118,0.1307737590898714,0.1567300012035462,0.851009937726504,0.14973667809383093,0.03738564469351513,0.05432764894750728,0.03469756831576857,0.04619898253705194,0.03426667878033394,0.0340188224275998
diagnosis ~ mean + range + (1|ID) + (1|study),0.11549079701992207,0.17229181786627118,0.12136793943726264,0.15710809289078034,0.8561086925569034,0.14441103358908194,0.04101296834855296,0.05432764894750728,0.03881544334973059,0.04614477806006382,0.03892366484572792,0.0388329608299709
diagnosis ~ mean + iqr + (1|ID) + (1|study),0.12421771844542658,0.16614811776214067,0.12811159014933246,0.1516436251920123,0.8548170818962164,0.14593697432261069,0.03756552030186644,0.0532708497527251,0.033777190230341134,0.04475339189082359,0.032873379314337904,0.03265849879699181
diagnosis ~ mean + median + (1|ID) + (1|study),0.13013421105092055,0.15998180345629148,0.1327401925726081,0.14696718396608868,0.8549419927463939,0.14592521528685123,0.03658905712027727,0.05272944341490885,0.031715066749825854,0.04407189496346741,0.030798390171049184,0.03057538445676826
diagnosis ~ mean + mean_abs + (1|ID) + (1|study),0.12133021307831622,0.18021286336872844,0.12802697193887283,0.1649226903920612,0.8492284617764777,0.15119204715609005,0.03687613548874929,0.04662839813908855,0.03437344848746062,0.038114269070615124,0.03252782599036362,0.032486350601183635
diagnosis ~ mean + coef_var + (1|ID) + (1|study),0.13010007138660304,0.17090498879808147,0.13527479831797543,0.15570657412762676,0.8494974699076577,0.15126339565108282,0.03719129369950217,0.05687291754009534,0.03572578644030411,0.04849178144090351,0.036237165897404014,0.03595779336583003
diagnosis ~ mean + se + (1|ID) + (1|study),0.13608700731541176,0.15226510155354306,0.13644685912544394,0.14060431551603622,0.8558239455655225,0.14515029046612488,0.03572117846366596,0.052528677220325164,0.029267746815063313,0.04295175508676811,0.027654180603462808,0.027426693951619775
diagnosis ~ mean + Gender + (1|ID) + (1|study),0.21003184048302379,0.16471237890883847,0.19743394852470036,0.1586046694709876,0.8126278903040689,0.1868558031680365,0.04759207832722107,0.0672561251705064,0.030850459523636707,0.049800578648363306,0.0374082267222038,0.036667972877259015
diagnosis ~ sd + range + (1|ID) + (1|study),0.23157563327866681,0.11488111787452841,0.2013023692931809,0.1141698815369028,0.8267716244234024,0.17253535265605244,0.05912659152971937,0.05601763938000906,0.040414041101829834,0.0508366104847088,0.037663648584358445,0.03728406357991759
diagnosis ~ sd + iqr + (1|ID) + (1|study),0.26129100795139415,0.062232705394801885,0.2153503084377046,0.08107467943439016,0.8382381433269019,0.16197888172219704,0.04999439863460129,0.020727136212334088,0.035807308214148445,0.026824144383584506,0.03457505481230027,0.034115409092343424
diagnosis ~ sd + median + (1|ID) + (1|study),0.1226005788408333,0.15226510155354306,0.12297099339270681,0.13906785688156012,0.8625671598028118,0.13835738596819333,0.03883974802782953,0.052528677220325164,0.03252653351414729,0.042271594463905375,0.02847648538347704,0.028291908771190224
diagnosis ~ sd + mean_abs + (1|ID) + (1|study),0.23739224416235952,0.11033190326770038,0.20818365300046052,0.11657372848721823,0.82613792628497,0.17338364416174395,0.04855951071984486,0.05073520638374082,0.0332060506846456,0.04261860916634836,0.035238372503503194,0.03468934693996371
diagnosis ~ sd + coef_var + (1|ID) + (1|study),0.24426333081254015,0.11372839817824199,0.21633096423180873,0.13105199724517907,0.8210041355046088,0.17945835718599185,0.0451909219611389,0.03732955686510028,0.036887694422040415,0.04335762470797453,0.0396391711719025,0.03935704230945791
diagnosis ~ sd + se + (1|ID) + (1|study),0.21474841064931544,0.15009359985377171,0.1988516053518827,0.14574577014425877,0.8175789947484564,0.18160955761237013,0.044480136928229726,0.05792190444992151,0.02841100161935169,0.044142945148759244,0.030968217620352127,0.030504374707400007
diagnosis ~ sd + Gender + (1|ID) + (1|study),0.19534995879834838,0.14710590809167692,0.1749838158661688,0.12346740496496328,0.8287720665549874,0.1700859411431796,0.06257146474229855,0.08131233838873896,0.03689464409432039,0.061769059065428844,0.03684111184207324,0.0362541683907658
diagnosis ~ range + iqr + (1|ID) + (1|study),0.2331381332786668,0.10049270055310171,0.20052399659871117,0.11579121465417944,0.8331845830841158,0.16649652287494682,0.05672848638891928,0.030091724401277165,0.041560679350080336,0.031498716783609416,0.03717203748562861,0.03679772352014063
diagnosis ~ range + median + (1|ID) + (1|study),0.11972380769441852,0.1538154891504423,0.121055609868056,0.14115516400239972,0.8632303515775696,0.13756036482823042,0.039492429086093656,0.05257200542878374,0.03387802904226599,0.04246256892243787,0.03159058615917893,0.031461718337614325
diagnosis ~ range + mean_abs + (1|ID) + (1|study),0.2480063707196286,0.11012131498456512,0.2149943300307181,0.12153136421682541,0.8209361571479031,0.1786531439986013,0.05290766862449022,0.04584730430804991,0.03871870198936012,0.04175300938807171,0.03867352820536356,0.03824096074160625
diagnosis ~ range + coef_var + (1|ID) + (1|study),0.24710089279661154,0.10030818423737549,0.216851097768346,0.11727134755172139,0.8262954614830065,0.1741152317229283,0.03785523527684921,0.0357339122187876,0.03146342017364544,0.040161302789017785,0.03593808461629131,0.035536825993572115
diagnosis ~ range + se + (1|ID) + (1|study),0.20629469229105396,0.15156811123421032,0.18891130647936452,0.14158570117566327,0.8210685982373678,0.17779906462277265,0.05549735298947107,0.06590261963007264,0.034964807532454206,0.04919454958422257,0.03532723562540153,0.034790796861041445
diagnosis ~ range + Gender + (1|ID) + (1|study),0.18949980851925863,0.14710590809167692,0.16922667659509763,0.1231734314225821,0.8316971416945322,0.1670669452137359,0.06537862813799405,0.08131233838873896,0.040399141880817,0.06164195916219918,0.03878791042171144,0.038273285903199325
diagnosis ~ iqr + median + (1|ID) + (1|study),0.1226005788408333,0.15378025306869458,0.12312845463301689,0.14033198843346145,0.8618095840452361,0.13910365462490976,0.03883974802782953,0.05232621359819413,0.03250004134493145,0.04211106110041693,0.028292877555852965,0.02810230603293108
diagnosis ~ iqr + mean_abs + (1|ID) + (1|study),0.23743614954625722,0.12260668159593238,0.21111600841183417,0.12663980454730928,0.8199785844289053,0.17946211716798272,0.0495276218928036,0.057675977604316565,0.03550355227148638,0.04709251489415674,0.038684197712397915,0.038168445121096954
