model,SEN,SPE,PPV,NPV,AUC,ACC,BRIER,SEN_SE,SPE_SE,PPV_SE,NPV_SE,AUC_SE,ACC_SE,BRIER_SE
diagnosis ~ mean,0.44286153642209863,0.561499050336041,0.498015419584047,0.5039147604459618,0.5551718446176468,0.5033600457893458,0.25195692550615545,0.08962251908838803,0.07242781838302,0.03580434715713438,0.04156731915241261,0.025545657218386544,0.037826945228189975,0.0036838251635549235
diagnosis ~ sd,0.8333130032170378,0.3136364878674663,0.5531882470973106,0.6557401200949587,0.5734747455422521,0.5744482602232621,0.24905114486211294,0.030712073671799393,0.03669420997623682,0.00994995734926619,0.0252018734951232,0.008350641188330453,0.00868017493247264,1.4408659704261386e-4
diagnosis ~ range,0.7233439135354488,0.4256575283095766,0.5620253967853713,0.6230514486230814,0.5745007209225127,0.5735991918938473,0.24870721301880025,0.06364430208663861,0.05490921479229059,0.013635341556802918,0.038963926016594624,0.0128001218503958,0.012647568276810376,0.00109172342936582
diagnosis ~ iqr,0.8535907683280766,0.30861449109432776,0.5574217061023228,0.6756024164408311,0.5811026297112022,0.582827857724997,0.2482751547505589,0.0208228015294724,0.03428849119530994,0.008780248076679492,0.02003754913421833,0.009639821582835082,0.008778525488720166,4.2693335330700654e-4
diagnosis ~ median,0.5427921069983891,0.4362827950441066,0.47850389673784444,0.490525891826314,0.5502880688728485,0.49193298918781636,0.2532937224445267,0.14224738777523402,0.13082970518381573,NA,NA,0.031249240815532105,0.04007421987649564,0.0035963499759918338
diagnosis ~ mean_abs,0.748224868606682,0.39157922660506794,0.5547862778848397,0.6230643833639299,0.5699020476058749,0.5699334189332947,0.2434074885460074,0.05629764453750588,0.03949407775857893,0.011859589594101591,0.046045631104673156,0.017836585813833725,0.017240500904341764,0.003718258110435009
diagnosis ~ coef_var,0.8010252996703867,0.3798179741037782,0.5676270327846064,0.6556330849391919,0.5904216368870825,0.5918634600702326,0.24098058977937015,0.020542932538825897,0.014541792950369274,0.0026167768106467393,0.020441325434921363,0.005634382689287045,0.00391423190120479,0.0014378820616853289
diagnosis ~ se,0.40013279058261797,0.5214294221158362,0.4536988850159623,0.46115437809184673,0.4607811063492271,0.45805379802016827,0.24956948146557353,0.07603585053818646,0.06659288333075765,0.021511458795614474,0.013936856133242895,0.01677654147084687,0.016604037996586087,4.1856331652037024e-4
diagnosis ~ Gender,0.5105064716051615,0.3628615673774425,0.437265591933356,0.45059015083255705,0.5626095661319068,0.4357474561011192,0.25632655081256017,0.10479304086309237,0.062305980062993885,0.043497243514459646,0.06718637877359272,0.0501921773603199,0.04961876976087311,0.0024913822116087196
diagnosis ~ mean + sd,0.511099638184125,0.5957578184223296,0.5534308866146307,0.5585891870440794,0.6007762770129232,0.5534304089498783,0.2496753841962195,0.09795299588294405,0.05996129615659944,0.045624607968391684,0.0502846396774785,0.01997490531483699,0.0477533170031661,0.004599377032649405
diagnosis ~ mean + range,0.5652929857113802,0.5916282689033565,0.5845164382472182,0.5802797667492384,0.5784606273073684,0.5783847994082096,0.24664300497074892,0.07221675822789798,0.050574199089743026,0.02542029131826937,0.039883659507519674,0.03139889669729852,0.03149470803382963,0.006008606858253893
diagnosis ~ mean + iqr,0.5368833069147751,0.569435492213153,0.5469512458034353,0.5680911977622943,0.6036565545728727,0.5534705652084065,0.24930053410787012,0.11334411460356385,0.06797419972214033,0.046500656525082916,0.05679535406954284,0.02344714625324732,0.050851080636619715,0.0040882959149536845
